ImageId,Label
1,0
2,0
3,0
4,6
5,0
6,3
7,0
8,0
9,0
10,0
11,0
12,0
13,7
14,0
15,4
16,0
17,3
18,3
19,0
20,0
21,0
22,0
23,4
24,0
25,0
26,9
27,4
28,0
29,0
30,0
31,7
32,0
33,4
34,0
35,3
36,3
37,0
38,3
39,3
40,0
41,0
42,4
43,6
44,2
45,0
46,3
47,4
48,0
49,9
50,3
51,0
52,0
53,3
54,0
55,0
56,4
57,4
58,9
59,7
60,0
61,9
62,4
63,0
64,3
65,0
66,0
67,0
68,0
69,0
70,9
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,4
79,2
80,0
81,7
82,3
83,0
84,3
85,6
86,3
87,6
88,0
89,6
90,7
91,0
92,0
93,3
94,3
95,4
96,0
97,0
98,0
99,4
100,9
101,0
102,3
103,3
104,0
105,0
106,9
107,0
108,7
109,0
110,4
111,0
112,0
113,3
114,0
115,3
116,0
117,4
118,0
119,3
120,9
121,0
122,0
123,2
124,3
125,0
126,3
127,3
128,0
129,0
130,0
131,3
132,9
133,3
134,0
135,0
136,0
137,3
138,0
139,7
140,3
141,4
142,3
143,0
144,3
145,0
146,2
147,3
148,2
149,3
150,3
151,2
152,2
153,3
154,2
155,9
156,0
157,0
158,3
159,0
160,0
161,3
162,0
163,3
164,0
165,3
166,0
167,3
168,6
169,3
170,0
171,0
172,0
173,3
174,6
175,0
176,3
177,0
178,0
179,0
180,9
181,6
182,3
183,3
184,0
185,0
186,4
187,2
188,3
189,9
190,0
191,0
192,0
193,9
194,0
195,6
196,0
197,6
198,0
199,3
200,9
201,3
202,3
203,0
204,3
205,6
206,0
207,6
208,6
209,3
210,0
211,0
212,0
213,0
214,2
215,6
216,0
217,3
218,3
219,3
220,0
221,0
222,3
223,0
224,0
225,3
226,9
227,0
228,6
229,3
230,0
231,0
232,9
233,0
234,0
235,4
236,0
237,0
238,3
239,3
240,3
241,0
242,3
243,2
244,3
245,6
246,3
247,3
248,3
249,9
250,3
251,6
252,4
253,3
254,2
255,0
256,0
257,9
258,0
259,0
260,0
261,0
262,3
263,2
264,9
265,7
266,7
267,6
268,0
269,3
270,4
271,3
272,3
273,3
274,3
275,9
276,0
277,0
278,6
279,0
