MoleculeId,PredictedProbability
1,0.926616135189
2,0.971155214094
3,0.386131514474
4,0.961041707447
5,0.0517102637685
6,0.279591495614
7,0.93240724393
8,0.945888800744
9,0.811072292782
10,0.620733061647
11,0.505344690682
12,0.47604533266
13,0.892223086898
14,0.696308135093
15,0.123526617451
16,0.351242057354
17,0.133399914586
18,0.0225714831467
19,0.674816792538
20,0.834483454305
21,0.203865968749
22,0.956105532003
23,0.856396351328
24,0.990023002468
25,0.999987778192
26,0.838385439322
27,0.0749772954689
28,0.0527957997588
29,0.202812108834
30,0.562600820757
31,0.140284610472
32,0.0678356302154
33,0.681029754365
34,0.309163681175
35,0.0642058363086
36,0.75102944536
37,0.874107058856
38,0.831684885901
39,0.914668353379
40,0.998455223063
41,0.356466373125
42,0.0799062174105
43,0.892829303715
44,0.897054436405
45,0.133908679033
46,0.500440096022
47,0.738926741413
48,0.58655373802
49,0.868090964384
50,0.641882944149
51,0.742743944196
52,0.0216201460935
53,0.940231059835
54,0.049355969777
55,0.11264883719
56,0.995435024891
57,0.950464828466
58,0.991449377336
59,0.992166659464
60,0.748015227236
61,0.716408252746
62,0.814516756749
63,0.0595483080106
64,0.0447547305691
65,0.177818840293
66,0.282298121172
67,0.462545556881
68,0.0637103859992
69,0.244886225515
70,0.0486829279186
71,0.612194547261
72,0.345038923003
73,0.926529530389
74,0.951493625761
75,0.151217794148
76,0.148552457462
77,0.999819968135
78,0.298921968876
79,0.77602162812
80,0.0331797235356
81,0.63661517161
82,0.40403770734
83,0.121378543841
84,0.130060305629
85,0.449126443504
86,0.232470191162
87,0.142262318851
88,0.943647294465
89,0.792255045286
90,0.897479775097
91,0.563442930185
92,0.89788405912
93,0.209519404224
94,0.15445431749
95,0.77424031455
96,0.203565770712
97,0.638180673582
98,0.981282815628
99,0.991799571748
100,0.980564147771
101,0.739146414309
102,0.771531527132
103,0.899884464762
104,0.537572910717
105,0.59205140306
106,0.303291535986
107,0.511082455712
108,0.799986175142
109,0.992732730051
110,0.0123080903844
111,0.252678484421
112,0.923495350388
113,0.00844777721822
114,0.974136478381
115,0.985420013076
116,0.0998271866594
117,0.839329958212
118,0.00504665913268
119,0.68760571487
120,0.296788948445
121,0.150502976098
122,0.16281811211
123,0.707414173609
124,0.409150231596
125,0.693408166723
126,0.0877073246604
127,0.0993308400818
128,0.677456240273
129,0.503429841125
130,0.191653771041
131,0.138252574937
132,0.205332889077
133,0.0494297839616
134,0.918303868432
135,0.290319025788
136,0.934549190747
137,0.0936071160801
138,0.91481009744
139,0.941677062636
140,0.738871552136
141,0.915313222201
142,0.978025354555
143,0.650347757617
144,0.15367838475
145,0.864787167124
146,0.063099136109
147,0.556807922365
148,0.674013366434
149,0.633060114717
150,0.126430346857
151,0.112932905782
152,0.908297436223
153,0.726904125752
154,0.949362308607
155,0.975932368804
156,0.444614549792
157,0.305521610361
158,0.983754439999
159,0.922983488882
160,0.0146684539189
161,0.604012183357
162,0.28841773888
163,0.0469973170292
164,0.972384658262
165,0.931304085813
166,0.030802670271
167,0.709934187182
168,0.884258830251
169,0.728375889826
170,0.999328561544
171,0.998073523874
172,0.90884839437
173,0.17544560191
174,0.521433987161
175,0.0969355208784
176,0.85298595135
177,0.161188756936
